full_size,compressed,compression_t,decompression_t,res_type,sample_id,tissue,ratio
1893665457,218744349,9.18,7.12,bus,GSM3758118,skin,8.6569800118585
1890351825,225240521,8.12,5.78,bus,GSM3396181,bone_marrow,8.392592134876121
1887651825,238521849,9.16,6.45,bus,GSM3360834,brain,7.913957706239314
1858360241,242974413,9.43,7.06,bus,GSM3770749,brain,7.648378354143817
1843749841,222086049,8.65,6.05,bus,ERS3861837,liver,8.30196155635152
1842369393,222136685,10.14,6.56,bus,GSM3396167,bone_marrow,8.29385471832354
1839343537,240005913,11.02,6.99,bus,GSM3770750,brain,7.6637425887086374
1838836465,240392749,8.76,5.5,bus,GSM3717979,adipose,7.649300873879519
1833235025,222519501,9.19,6.06,bus,GSM3731527,liver,8.238536473259483
1825741969,241337093,9.09,6.15,bus,GSM3526586,testis,7.565111298494012
1818041713,214139429,9.23,6.08,bus,GSM3711759,adipose,8.489990477185778
1808159505,229788389,10.95,7.21,bus,GSM3711763,adipose,7.868802740072302
1804833585,217590017,9.59,6.32,bus,GSM3396166,bone_marrow,8.294652529945802
1775374225,228770477,8.97,5.42,bus,GSM3052921,testis,7.760504101235056
1766283633,208214977,7.25,4.76,bus,GSM4080088,lung,8.482980707963193
1766150033,218534089,7.71,5.43,bus,GSM3667328,skin,8.081805639942974
1765771985,220079541,9.55,6.53,bus,GSM3439925,lung,8.023335458519517
1762109649,205413169,8.79,5.94,bus,ERS3861780,kidney,8.57836748042186
1752658641,226882117,11.08,7.45,bus,GSM3178782,liver,7.724974820294012
1752017169,194590433,10.65,6,bus,GSM2786158,lung,9.003614113958008
1751934577,213126261,9.88,6.45,bus,GSM4272900,muscle,8.22017225272863
1724661137,215944849,9.79,6.37,bus,GSM3052919,testis,7.986581504428476
1720458225,218214105,9.94,6.5,bus,GSM2877959,blood,7.884266807592479
1704551185,214338125,9.92,6.35,bus,GSM3587013,rectum,7.952627116617728
1697666833,202450561,7.19,4.66,bus,GSM3439988,lung,8.385587200225146
1677424337,192824485,8.58,7.42,bus,GSM3309833,bone_marrow,8.699228923131832
1673975921,221203521,8.43,5.27,bus,GSM3526589,testis,7.567582619989127
1664213169,200594149,7.04,4.94,bus,ERS4228636,thymus,8.296419298850038
1653033713,201123981,7.36,5.32,bus,GSM2905290,brain,8.21897868558996
1650991377,207216777,7.63,5.14,bus,ERX2756713,decidua,7.967459975501887
1646961009,198801001,8.75,5.69,bus,GSM3396172,bone_marrow,8.284470403647514
1646267153,197638481,9.31,6.53,bus,GSM3378056,blood,8.329689363479776
1641523057,206597065,7.11,4.92,bus,GSM3526587,testis,7.945529414950788
1630509809,194805873,6.84,4.66,bus,ERS4228635,thymus,8.369921213822954
1604844753,194707689,8.55,5.91,bus,GSM3396178,bone_marrow,8.242328596483933
1600218961,180242377,6,4.29,bus,ERS3861828,kidney,8.878150563893195
1597793137,186225717,6.46,4.53,bus,GSM4272899,muscle,8.579873729255128
1595914769,196014881,11.18,6.34,bus,GSM3954956,stomach,8.141804136799186
1581016273,194752761,10.11,7.47,bus,GSM3535281,lymph_node,8.118068595700166
1567266385,189184273,8.6,5.96,bus,GSM3734295,brain,8.284337593960572
1539715377,194862893,9.78,5.99,bus,GSM3711758,adipose,7.901531960730974
1521601809,180683761,8.71,5.66,bus,ERS4228637,thymus,8.421353422015606
1503528977,186089781,10.31,8.57,bus,GSM3755696,peritoneal,8.079589158095683
1502511409,186889677,9.37,6.56,bus,GSM3711787,adipose,8.0395634104499
1499907665,178421261,8.27,5.54,bus,GSM3758116,skin,8.406552316654684
1491935921,191891613,8.96,5.42,bus,GSM3360838,brain,7.774888634658566
1476758833,173672669,6.13,4.11,bus,GSM3758119,skin,8.503115899024964
1471008625,175288141,8.85,5.15,bus,GSM3734178,blood,8.391946064394624
1448200465,182362601,6.6,4.17,bus,GSM4037324,lung,7.941323807944591
1436147921,164531281,6.49,4.66,bus,GSM3169075,blood,8.728722661558807
1428307889,166386469,7.21,4.84,bus,GSM3734180,blood,8.584279103849484
1427877969,162170225,5.44,4.53,bus,GSM3665017,blood,8.80480969302472
1407655633,178199037,6.34,4.47,bus,GSM3526588,testis,7.8993447815321245
1405707793,177934973,6.83,4.7,bus,GSM4463244,eye,7.90012086606493
1403330321,191195417,8.57,5.11,bus,GSM4463249,eye,7.339769660901443
1384879153,171954081,6.28,4.35,bus,GSM4272898,muscle,8.053773105856092
1342205073,153957361,5.25,3.61,bus,GSM3734181,blood,8.718031176177409
1324346641,149301817,6.18,4.47,bus,GSM3665016,blood,8.870264726918895
1323788401,152529921,5.79,5.61,bus,GSM3665018,blood,8.67887685459432
1307763665,169570149,7.81,5.18,bus,GSM2877960,blood,7.7122280820782905
1279893873,154207321,5.56,3.85,bus,GSM3734179,blood,8.299825615931685
1258527601,148074713,4.87,3.7,bus,GSM3439913,lung,8.499274288649136
1241770353,154238297,6.9,4.59,bus,GSM3711786,adipose,8.050985891007342
1239684945,147936617,6.57,4.54,bus,GSM3954953,stomach,8.379838407417415
1232831793,134866833,6.43,5.07,bus,GSM4213827,lung,9.141104344016146
1227904433,157717041,7.26,4.8,bus,GSM3954949,stomach,7.785489920521651
1218729297,158693177,7.73,4.9,bus,GSM4463239,eye,7.679783844771095
1210624689,140190649,5.95,4.19,bus,GSM3665019,blood,8.635559487280782
1201636017,147304081,5.45,3.55,bus,GSM2905292,brain,8.157520204752508
1197000657,147292837,6.7,4.33,bus,ERX2756729,decidua,8.12667256181643
1182299057,162179997,5.92,3.78,bus,GSM3526585,testis,7.290042415033464
1173920465,128456449,4.05,3.21,bus,GSM4213829,lung,9.138665081735212
1167356945,143048581,5.31,4.01,bus,GSM3734296,brain,8.160562913937609
1156013873,133558513,4.52,3.47,bus,ERS3861773,liver,8.655486251183405
1131740241,148034661,5.67,3.48,bus,GSM3954952,stomach,7.645103068125376
1125788305,122633561,4.86,3.76,bus,GSM4213828,lung,9.180099605849332
1121353969,134430949,6.01,3.88,bus,GSM3711775,adipose,8.341486669115161
1097566897,132591953,4.9,3.51,bus,GSM3396185,bone_marrow,8.27777909719755
1082687569,131332561,5.62,3.89,bus,GSM3711774,adipose,8.24386245692719
1082283665,135361593,4.96,3.52,bus,GSM3509838,kidney,7.99550035585057
1078654961,137765097,5.15,3.24,bus,GSM3732871,testis,7.829667923799306
1071961521,127329817,5.79,5.37,bus,GSM3711765,adipose,8.418778462549742
1061767441,129965713,4.88,3.1,bus,GSM3375767,tonsil,8.169596553515618
1055268657,136761041,5.45,3.2,bus,GSM3402078,testis,7.716149637965976
1052298801,125657353,4.46,2.94,bus,GSM3439919,lung,8.374351169087575
1049170289,131466565,4.85,3.66,bus,GSM3954948,stomach,7.980510398214177
1048588689,125216397,5.37,3.62,bus,ERS3861793,skin,8.374212276687693
1040943761,127713077,6.17,4.3,bus,GSM3954946,stomach,8.150643500665167
1032854225,118058557,6.34,5.25,bus,ERS3861784,skin,8.748660421116277
1031824401,117898937,5.94,4.24,bus,ERS3861782,liver,8.751770179234102
1028616433,125565525,5.34,3.55,bus,ERS4228639,thymus,8.191869806620886
1024075249,137956997,5.22,3.2,bus,GSM3711760,adipose,7.4231483090343
1019788785,127158397,6.32,4.32,bus,GSM4463229,eye,8.019830456025645
982901489,123213557,5.9,4.22,bus,GSM3954947,stomach,7.977218683817399
976964561,128790745,5.78,3.57,bus,GSM3526584,testis,7.585673652248848
969207185,118168277,5.28,3.63,bus,ERX2756728,placenta,8.201923643178786
954498353,120655137,5.63,3.91,bus,GSM4463234,eye,7.910963235655685
941705073,112674677,4.96,5.95,bus,GSM3396177,bone_marrow,8.357734835130701
935534769,115997445,5.23,3.62,bus,GSM3732366,blood,8.065132546669455
927101361,114264641,5.25,3.8,bus,GSM3667327,skin,8.113632991679378
915133841,108979877,4.74,3.44,bus,GSM3738542,blood,8.397273571890707
908602353,113016353,5.51,3.68,bus,GSM3509840,kidney,8.039565327329223
903939729,115511677,5.12,3.46,bus,GSM3509839,kidney,7.825526842623884
896455729,116960189,6.72,3.83,bus,ERX2756736,placenta,7.664622780320576
893370545,112088885,4.9,3.13,bus,ERX2756742,placenta,7.970197446428341
887171441,114258969,5.91,3.71,bus,GSM3711771,adipose,7.76456718246775
867588689,121228529,5.76,3.38,bus,ERX2756712,decidua,7.156637931323905
854045073,116071421,5.91,4.33,bus,GSM3526583,testis,7.357927262732486
849095057,103353681,4.78,3.11,bus,GSM3734297,brain,8.215431214298018
836830929,104104937,5.69,4.32,bus,GSM3711777,adipose,8.038340477551031
797923441,94099097,4.96,2.79,bus,GSM3738539,bone_marrow,8.479607843633186
777766353,92756337,4.11,2.69,bus,GSM3738538,bone_marrow,8.385048161183855
777554833,92876497,4.08,3.6,bus,GSM3738543,blood,8.371922478945345
768002897,91333129,4.33,3.19,bus,GSM3396164,bone_marrow,8.408809655475617
767198129,89220145,3.75,2.52,bus,GSM4213826,lung,8.598933895478426
707724881,89112185,4.06,2.62,bus,GSM3402080,testis,7.941954077323993
698610225,90400157,3.38,2.33,bus,GSM3711780,adipose,7.727975793227881
688370993,82878313,2.86,3.04,bus,ERX2756718,blood,8.305803630438279
661403057,78695313,2.7,1.9,bus,GSM3396180,bone_marrow,8.404605455981857
649449553,84261125,3.95,2.54,bus,GSM3711781,adipose,7.707582268810202
645632401,88076173,4.26,2.7,bus,GSM4463223,eye,7.330386630218368
640449329,78796081,3.51,2.21,bus,GSM3711782,adipose,8.127933786453161
634667281,74535905,3.06,2.45,bus,GSM4213824,lung,8.514920171694433
632658769,82974653,3.13,3.25,bus,GSM3319032,ovary,7.62472328748395
624164945,69639209,2.2,1.72,bus,GSM4213830,lung,8.962837946651577
616878929,83109181,3.17,1.94,bus,GSM4037982,eye,7.422512429763927
602355089,77238049,2.88,1.75,bus,GSM3020393,blood,7.798683379483084
598873873,83616317,3.35,1.99,bus,GSM3711779,adipose,7.1621651668776565
586670929,72681929,2.51,1.75,bus,ERS3861813,yolk_sac,8.071757823048422
585740081,72090197,3.19,2.39,bus,GSM3711783,adipose,8.12510029623029
555801617,80325913,3.3,1.97,bus,GSM4339769,lung,6.9193314615670785
553582705,70470185,2.62,1.92,bus,ERS3861811,skin,7.855559127594173
547980081,70531253,2.64,1.67,bus,GSM3396184,bone_marrow,7.769322926958352
543946833,71519101,2.8,1.83,bus,GSM4037309,lung,7.605616197552595
538308753,66471017,2.77,1.8,bus,ERX2756726,placenta,8.098398028121037
537679505,62190669,2.15,1.85,bus,GSM3557962,ovary,8.645662020455191
520957937,60288957,2.06,1.67,bus,GSM3557960,ovary,8.641017574744243
519896305,68735789,2.54,1.62,bus,GSM3319036,ovary,7.563691529022821
513683697,71659005,2.91,1.93,bus,GSM4037981,eye,7.168445849897022
